round,profile,run_id,run_status,backend_mode,model_name,model_loaded,device,total_jsonl_records,unique_records,unique_trace_ids,duplicate_records,parse_failures,purity_failures,tp,fp,fn,valid_observations,agreement_rate,schema_issues,failure_observations,pattern_strategy_tp,pattern_strategy_fp,pattern_strategy_fn,pattern_template_method_tp,pattern_template_method_fp,pattern_template_method_fn,comparison_total_duration_ms,baseline_total_duration_ms,duration_delta_ms,overhead_percent,total_ai_duration_ms,m5_output_dir
1,heuristic-only,tcc-repeated-20260503-152814-r1-heuristic-20260503-152814,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,shadow-zeroshot,tcc-repeated-20260503-152814-r1-zeroshot-20260503-152814,invalid,graphcodebert,microsoft/graphcodebert-base,true,cpu,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,,0,Input JSONL has zero records across provided --input paths.
/tmp/rmt-m5-tcc-repeated-20260503-152814-r1-zeroshot-20260503-152814
1,shadow-finetuned,tcc-repeated-20260503-152814-r1-finetuned-20260503-152814,invalid,graphcodebert_finetuned,microsoft/graphcodebert-base-finetuned,true,cpu,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,,0,Input JSONL has zero records across provided --input paths.
/tmp/rmt-m5-tcc-repeated-20260503-152814-r1-finetuned-20260503-152814
2,heuristic-only,tcc-repeated-20260503-152814-r2-heuristic-20260503-153020,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,shadow-zeroshot,tcc-repeated-20260503-152814-r2-zeroshot-20260503-153020,invalid,graphcodebert,microsoft/graphcodebert-base,true,cpu,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,,0,Input JSONL has zero records across provided --input paths.
/tmp/rmt-m5-tcc-repeated-20260503-152814-r2-zeroshot-20260503-153020
2,shadow-finetuned,tcc-repeated-20260503-152814-r2-finetuned-20260503-153020,invalid,graphcodebert_finetuned,microsoft/graphcodebert-base-finetuned,true,cpu,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,,0,Input JSONL has zero records across provided --input paths.
/tmp/rmt-m5-tcc-repeated-20260503-152814-r2-finetuned-20260503-153020
3,heuristic-only,tcc-repeated-20260503-152814-r3-heuristic-20260503-153155,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,shadow-zeroshot,tcc-repeated-20260503-152814-r3-zeroshot-20260503-153155,invalid,graphcodebert,microsoft/graphcodebert-base,true,cpu,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,,0,Input JSONL has zero records across provided --input paths.
/tmp/rmt-m5-tcc-repeated-20260503-152814-r3-zeroshot-20260503-153155
3,shadow-finetuned,tcc-repeated-20260503-152814-r3-finetuned-20260503-153155,invalid,graphcodebert_finetuned,microsoft/graphcodebert-base-finetuned,true,cpu,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,,0,Input JSONL has zero records across provided --input paths.
/tmp/rmt-m5-tcc-repeated-20260503-152814-r3-finetuned-20260503-153155
4,heuristic-only,tcc-repeated-20260503-152814-r4-heuristic-20260503-153332,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,shadow-zeroshot,tcc-repeated-20260503-152814-r4-zeroshot-20260503-153332,invalid,graphcodebert,microsoft/graphcodebert-base,true,cpu,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,,0,Input JSONL has zero records across provided --input paths.
/tmp/rmt-m5-tcc-repeated-20260503-152814-r4-zeroshot-20260503-153332
4,shadow-finetuned,tcc-repeated-20260503-152814-r4-finetuned-20260503-153332,invalid,graphcodebert_finetuned,microsoft/graphcodebert-base-finetuned,true,cpu,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,,0,Input JSONL has zero records across provided --input paths.
/tmp/rmt-m5-tcc-repeated-20260503-152814-r4-finetuned-20260503-153332
5,heuristic-only,tcc-repeated-20260503-152814-r5-heuristic-20260503-153507,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,shadow-zeroshot,tcc-repeated-20260503-152814-r5-zeroshot-20260503-153507,invalid,graphcodebert,microsoft/graphcodebert-base,true,cpu,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,,0,Input JSONL has zero records across provided --input paths.
/tmp/rmt-m5-tcc-repeated-20260503-152814-r5-zeroshot-20260503-153507
5,shadow-finetuned,tcc-repeated-20260503-152814-r5-finetuned-20260503-153507,invalid,graphcodebert_finetuned,microsoft/graphcodebert-base-finetuned,true,cpu,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,,0,Input JSONL has zero records across provided --input paths.
/tmp/rmt-m5-tcc-repeated-20260503-152814-r5-finetuned-20260503-153507
