run_id,total_jsonl_records,unique_records,unique_trace_ids,duplicate_records,parse_failures,purity_failures
tcc-isolated-shadow-zeroshot-fixed-2026-05-03-04,46,46,46,0,0,0
tcc-isolated-shadow-finetuned-2026-05-03-01,46,46,46,0,0,0
