run_id,tp,fp,fn,valid_observations,agreement_rate,schema_issues,failures
tcc-isolated-shadow-zeroshot-fixed-2026-05-03-04,46,0,0,46,1.0,0,0
tcc-isolated-shadow-finetuned-2026-05-03-01,46,0,0,46,1.0,0,0
