run_id,pattern,tp,fp,fn,agreement_rate
tcc-isolated-shadow-zeroshot-fixed-2026-05-03-04,STRATEGY,22,0,0,1.0
tcc-isolated-shadow-zeroshot-fixed-2026-05-03-04,TEMPLATE_METHOD,24,0,0,1.0
tcc-isolated-shadow-finetuned-2026-05-03-01,STRATEGY,22,0,0,1.0
tcc-isolated-shadow-finetuned-2026-05-03-01,TEMPLATE_METHOD,24,0,0,1.0
